arch,lr,dropout,val_acc,time_s
efficientnet_b2,0.001,0.3,99.81,440.2
efficientnet_b2,0.0005,0.1,99.81,548.4
mobilenet_v3,0.0005,0.1,99.63,512.9
mobilenet_v3,0.001,0.2,99.63,511.1
convnext_tiny,0.0005,0.3,99.63,615.1
resnet18,0.0005,0.3,99.63,522.9
convnext_tiny,0.001,0.1,99.63,609.9
convnext_tiny,0.001,0.3,99.63,613.6
efficientnet_b0,0.0005,0.1,99.63,533.3
efficientnet_b0,0.001,0.3,99.63,532.5
efficientnet_b0,0.0005,0.3,99.63,533.7
efficientnet_b0,0.0005,0.2,99.63,533.5
efficientnet_b2,0.001,0.1,99.63,494.9
efficientnet_b2,0.001,0.2,99.63,548.3
resnet18,0.001,0.3,99.63,527.0
resnet18,0.001,0.2,99.63,527.0
efficientnet_b2,0.0005,0.3,99.63,548.4
efficientnet_b2,0.0005,0.2,99.63,548.6
efficientnet_b0,0.001,0.2,99.63,531.7
efficientnet_b0,0.001,0.1,99.63,529.1
convnext_tiny,0.0005,0.1,99.63,615.9
resnet18,0.0005,0.2,99.63,525.2
resnet18,0.0005,0.1,99.63,524.4
mobilenet_v2,0.0005,0.1,99.44,581.5
mobilenet_v3,0.001,0.3,99.44,511.7
resnet18,0.001,0.1,99.44,528.0
mobilenet_v2,0.001,0.3,99.44,623.7
mobilenet_v3,0.001,0.1,99.44,515.9
convnext_tiny,0.0005,0.2,99.44,616.9
mobilenet_v3,0.0005,0.3,99.44,511.0
convnext_tiny,0.001,0.2,99.44,614.8
mobilenet_v2,0.001,0.2,99.25,637.1
mobilenet_v2,0.0005,0.2,99.25,526.0
mobilenet_v2,0.0005,0.3,99.25,524.7
mobilenet_v2,0.001,0.1,99.06,636.7
mobilenet_v3,0.0005,0.2,98.69,510.9
