lr,hidden_size,dropout,val_loss
0.001,128,0.1,0.006965
0.001,64,0.1,0.007503
0.0005,128,0.1,0.007749
0.001,32,0.1,0.008331
0.0005,64,0.1,0.008917
0.0005,32,0.1,0.009293
0.001,64,0.2,0.009826
0.001,32,0.2,0.011029
0.0005,64,0.2,0.011121
0.0005,32,0.2,0.01154
0.001,128,0.2,0.011648
0.0005,128,0.2,0.012376
0.0005,32,0.3,0.014164
0.001,64,0.3,0.014593
0.001,32,0.3,0.014984
0.0005,64,0.3,0.015338
0.0001,128,0.1,0.015948
0.001,128,0.3,0.020915
0.0001,32,0.1,0.021053
0.0005,128,0.3,0.021444
0.0001,64,0.1,0.02215
0.0001,32,0.2,0.024982
0.0001,128,0.2,0.025156
0.0001,64,0.2,0.02881
0.0001,32,0.3,0.029317
0.0001,64,0.3,0.039486
0.0001,128,0.3,0.042306
