frame,t,state,A,Ap,Ab,dA_dt,osc,risk,ttc_risk,traj_conf,transition
1,0.972,CRUISE,0.225,0.5,0.0,0.0,0.0,0.0,0.0,0.0,
2,1.794,CRUISE,0.1688,0.375,0.0,0.0,0.0,0.0,0.0,0.0,
3,2.042,CRUISE,0.1688,0.375,0.0,0.0,0.0,0.0,0.0,0.0,
4,2.27,CRUISE,0.1688,0.375,0.0,0.0,0.0,0.0,0.0,0.0,
5,2.543,CRUISE,0.1688,0.375,0.0,-0.0113,0.0005,0.0,0.0,0.0,
6,2.788,CRUISE,0.1688,0.375,0.0,-0.008,0.0004,0.0,0.0,0.0,
7,3.119,CRUISE,0.1688,0.375,0.0,-0.006,0.0004,0.0,0.0,0.0,
8,3.313,CRUISE,0.1688,0.375,0.0,-0.0047,0.0003,0.0,0.0,0.0,
9,3.5,CRUISE,0.1688,0.375,0.0,-0.0037,0.0003,0.0,0.0,0.0,
10,3.675,CRUISE,0.1688,0.375,0.0,-0.0031,0.0003,0.0,0.0,0.0,
11,3.835,CRUISE,0.1688,0.375,0.0,-0.0026,0.0003,0.0,0.0,0.0,
12,4.006,CRUISE,0.1688,0.375,0.0,-0.0022,0.0002,0.0,0.0,0.0,
13,4.134,CRUISE,0.1688,0.375,0.0,-0.0019,0.0002,0.0,0.0,0.0,
14,4.267,CRUISE,0.1688,0.375,0.0,-0.0016,0.0002,0.0,0.0,0.0,
15,4.394,CRUISE,0.1688,0.375,0.0,-0.0014,0.0002,0.0,0.0,0.0,
16,4.518,CRUISE,0.1688,0.375,0.0,-0.0012,0.0002,0.0,0.0,0.0,
17,4.646,CRUISE,0.1688,0.375,0.0,-0.0011,0.0002,0.0,0.0,0.0,
18,4.783,CRUISE,0.1688,0.375,0.0,-0.001,0.0002,0.0,0.0,0.0,
19,4.922,CRUISE,0.1688,0.375,0.0,-0.0009,0.0002,0.0,0.0,0.0,
20,5.053,CRUISE,0.1688,0.375,0.0,-0.0008,0.0002,0.0,0.0,0.0,
