frame,t,state,A,Ap,Ab,dA_dt,osc,risk,ttc_risk,traj_conf,transition
1,0.907,CRUISE,0.35,0.5,0.0,0.0,0.0,0.0,0.0,0.0,
2,1.853,CRUISE,0.2625,0.375,0.0,0.0,0.0,0.0,0.0,0.0,
3,2.187,PROBE,0.4467,0.6381,0.0,0.0,0.0,0.0001,0.0003,0.0,G1
4,2.508,PROBE,0.4179,0.597,0.0,0.0,0.0,0.0001,0.0003,0.0,
5,2.84,PROBE,0.4006,0.5722,0.0,0.0256,0.0042,0.0001,0.0003,0.0,
6,3.18,PROBE,0.4037,0.5767,0.0,0.0187,0.0036,0.0001,0.0003,0.0,
7,3.488,PROBE,0.3905,0.5579,0.0,0.0128,0.0031,0.0001,0.0003,0.0,
8,3.93,PROBE,0.3812,0.5446,0.0,0.0085,0.0027,0.0001,0.0003,0.0,
9,4.216,PROBE,0.3711,0.5302,0.0,0.0052,0.0024,0.0001,0.0003,0.0,
10,4.452,PROBE,0.3662,0.5231,0.0,0.003,0.0022,0.0001,0.0003,0.0,
11,4.676,PROBE,0.3644,0.5205,0.0,0.0016,0.002,0.0001,0.0003,0.0,
12,4.87,PROBE,0.357,0.51,0.0,0.0004,0.0019,0.0008,0.0022,0.0,
13,5.066,PROBE,0.3509,0.5013,0.0,-0.0005,0.0018,0.0124,0.0355,0.0,
14,5.247,HOLD,0.3485,0.4979,0.0,-0.0011,0.0017,0.0653,0.1866,0.0,G2
15,5.438,HOLD,0.3434,0.4906,0.0,-0.0016,0.0016,0.0808,0.2307,0.0,
16,5.641,HOLD,0.3399,0.4855,0.0,-0.002,0.0016,0.0938,0.2679,0.0,
17,5.837,PROBE,0.3358,0.4797,0.0,-0.0023,0.0016,0.0775,0.2214,0.0,G5
18,6.026,PROBE,0.3421,0.4887,0.0,-0.0024,0.0015,0.0559,0.1597,0.0,
19,6.229,PROBE,0.3535,0.5049,0.0,-0.0022,0.0014,0.0,0.0,0.0,
20,6.435,PROBE,0.3623,0.5176,0.0,-0.0019,0.0014,0.0,0.0,0.0,
21,6.62,PROBE,0.3694,0.5277,0.0,-0.0016,0.0013,0.0,0.0,0.0,
22,6.8,PROBE,0.3655,0.5222,0.0,-0.0014,0.0012,0.0008,0.0022,0.0,
23,6.984,PROBE,0.3714,0.5305,0.0,-0.0011,0.0012,0.0,0.0,0.0,
24,7.189,PROBE,0.3761,0.5373,0.0,-0.0009,0.0011,0.0,0.0,0.0,
25,7.393,PROBE,0.3777,0.5395,0.0,-0.0007,0.0011,0.3311,0.946,0.0,
26,7.572,PROBE,0.3818,0.5454,0.0,-0.0005,0.0011,0.0,0.0,0.0,
27,7.76,PROBE,0.3852,0.5503,0.0,-0.0003,0.001,0.0,0.0,0.0,
28,7.963,PROBE,0.3852,0.5503,0.0,-0.0001,0.001,0.1157,0.3306,0.0,
29,8.143,PROBE,0.3853,0.5505,0.0,0.0,0.001,0.2,0.5714,0.0,
30,8.327,PROBE,0.3877,0.5538,0.0,0.0001,0.001,0.0,0.0,0.0,
31,8.51,PROBE,0.3877,0.5538,0.0,0.0001,0.001,0.0,0.0,0.0,
32,8.696,PROBE,0.3919,0.5599,0.0,-0.0005,0.0006,0.2433,0.6952,0.0,
33,8.881,HOLD,0.3894,0.5563,0.0,0.0001,0.0004,0.2646,0.756,0.0,G2
34,9.07,HOLD,0.4004,0.5719,0.0,0.0006,0.0004,0.2785,0.7959,0.0,
35,9.267,HOLD,0.4024,0.5749,0.0,0.001,0.0004,0.2881,0.8233,0.0,
36,9.453,HOLD,0.4027,0.5753,0.0,0.0014,0.0004,0.2937,0.8392,0.0,
37,9.647,HOLD,0.4174,0.5963,0.0,0.0018,0.0004,0.2965,0.8472,0.0,
38,9.849,HOLD,0.4172,0.596,0.0,0.0022,0.0005,0.2995,0.8558,0.0,
39,10.04,HOLD,0.4176,0.5966,0.0,0.0024,0.0005,0.3028,0.8651,0.0,
40,10.245,HOLD,0.418,0.5972,0.0,0.0026,0.0006,0.306,0.8744,0.0,
41,10.434,HOLD,0.4168,0.5955,0.0,0.0028,0.0006,0.3083,0.881,0.0,
42,10.64,HOLD,0.4225,0.6035,0.0,0.0029,0.0007,0.3099,0.8855,0.0,
43,10.834,HOLD,0.4261,0.6087,0.0,0.003,0.0007,0.3098,0.8852,0.0,
44,11.025,HOLD,0.4269,0.6098,0.0,0.003,0.0007,0.3095,0.8842,0.0,
45,11.227,HOLD,0.4326,0.6181,0.0,0.003,0.0007,0.3087,0.882,0.0,
46,11.417,HOLD,0.4442,0.6346,0.0,0.003,0.0007,0.307,0.877,0.0,
47,11.615,HOLD,0.4935,0.6469,0.1357,0.0033,0.0009,0.3054,0.8725,0.0,
48,11.812,HOLD,0.4844,0.6396,0.1221,0.0035,0.001,0.3034,0.8669,0.0,
49,12.061,HOLD,0.4749,0.6308,0.1112,0.0036,0.0011,0.3028,0.865,0.0,
50,12.267,HOLD,0.462,0.6163,0.1021,0.0036,0.0011,0.3007,0.8591,0.0,
51,12.52,HOLD,0.449,0.601,0.0946,0.0036,0.0011,0.2996,0.8561,0.0,
52,12.765,HOLD,0.4507,0.6061,0.0881,0.0035,0.0011,0.2975,0.85,0.0,
53,12.998,HOLD,0.4367,0.5885,0.0826,0.0033,0.001,0.2955,0.8444,0.0,
54,13.242,HOLD,0.4205,0.5674,0.0778,0.0031,0.001,0.2953,0.8436,0.0,
55,13.481,HOLD,0.4193,0.5675,0.0735,0.0028,0.0009,0.2948,0.8424,0.0,
56,13.768,HOLD,0.3973,0.5675,0.0,0.0023,0.0009,0.0,0.0,0.0,
57,13.995,HOLD,0.4227,0.5447,0.138,0.0021,0.0008,0.3194,0.9125,0.0,
58,14.223,HOLD,0.3857,0.5509,0.0,0.0016,0.0008,0.0,0.0,0.0,
59,14.431,HOLD,0.3869,0.5527,0.0,0.0011,0.0008,0.0,0.0,0.0,
60,14.661,HOLD,0.3869,0.5527,0.0,0.0006,0.0008,0.0,0.0,0.0,
61,14.852,HOLD,0.3869,0.5527,0.0,0.0002,0.0008,0.0,0.0,0.0,
62,15.067,ABORT,0.4001,0.5716,0.0,-0.0002,0.0008,0.0,0.0,0.0,G6
63,15.271,ABORT,0.4081,0.5831,0.0,-0.0005,0.0008,0.0,0.0,0.0,
64,15.467,ABORT,0.42,0.6,0.0,-0.0007,0.0008,0.0,0.0,0.0,
