frame,t,state,A,Ap,Ab,dA_dt,osc,risk,ttc_risk,traj_conf,transition
1,0.953,CRUISE,0.35,0.5,0.0,0.0,0.0,0.0,0.0,0.0,
2,1.897,CRUISE,0.2625,0.375,0.0,0.0,0.0,0.0,0.0,0.0,
3,2.203,PROBE,0.4133,0.5904,0.0,0.0,0.0,0.0381,0.1089,0.0,G1
4,2.49,PROBE,0.4207,0.601,0.0,0.0,0.0,0.0391,0.1118,0.0,
5,2.85,PROBE,0.4154,0.5934,0.0,0.0289,0.0037,0.0384,0.1097,0.0,
6,3.172,PROBE,0.4309,0.6156,0.0,0.0249,0.0035,0.0393,0.1123,0.0,
7,3.534,PROBE,0.4192,0.5989,0.0,0.0195,0.0032,0.0388,0.1108,0.0,
8,3.876,PROBE,0.4044,0.5778,0.0,0.0144,0.0028,0.0396,0.1132,0.0,
9,4.205,PROBE,0.4328,0.6183,0.0,0.013,0.0027,0.0,0.0,0.0,
10,4.491,PROBE,0.4227,0.6039,0.0,0.011,0.0025,0.3106,0.8874,0.0,
11,4.771,PROBE,0.4106,0.5866,0.0,0.0089,0.0023,0.3302,0.9433,0.0,
12,5.056,PROBE,0.4086,0.5838,0.0,0.0072,0.0021,0.3359,0.9597,0.0,
13,5.335,HOLD,0.406,0.58,0.0,0.0059,0.002,0.3386,0.9674,0.0,G2
14,5.62,HOLD,0.4027,0.5753,0.0,0.0048,0.0018,0.3393,0.9695,0.0,
15,5.9,HOLD,0.4143,0.5918,0.0,0.0042,0.0017,0.0,0.0,0.0,
16,6.124,HOLD,0.4227,0.6038,0.0,0.004,0.0016,0.0,0.0,0.0,
17,6.403,HOLD,0.4289,0.6127,0.0,0.0038,0.0016,0.0,0.0,0.0,
18,6.613,HOLD,0.4334,0.6192,0.0,0.0037,0.0015,0.0,0.0,0.0,
19,6.9,HOLD,0.4368,0.624,0.0,0.0037,0.0015,0.0,0.0,0.0,
20,7.119,HOLD,0.3137,0.6274,0.0,0.0018,0.0018,0.0,0.0,0.0,
21,7.319,HOLD,0.3149,0.6299,0.0,0.0004,0.0021,0.0,0.0,0.0,
22,7.588,PROBE,0.3157,0.6315,0.0,-0.0006,0.0023,0.0,0.0,0.0,G5
23,7.827,PROBE,0.3162,0.6325,0.0,-0.0014,0.0025,0.0,0.0,0.0,
24,8.071,PROBE,0.3165,0.633,0.0,-0.002,0.0026,0.0,0.0,0.0,
25,8.285,PROBE,0.3165,0.6331,0.0,-0.0024,0.0027,0.0,0.0,0.0,
26,8.538,PROBE,0.3164,0.6328,0.0,-0.0027,0.0027,0.0,0.0,0.0,
27,8.736,PROBE,0.3162,0.6323,0.0,-0.003,0.0028,0.0,0.0,0.0,
