scenario,trial,offset_s,t_actual,t_cf,hqm,S,E,B,R,risk_at_commit,risk_at_greedy,t_commit
pedestrian_curb,0,-2.0,3.133,1.133,0.5916,0.0515,0.9239,0.9502,1.0,0.5211,0.5727,1.133
pedestrian_curb,0,-1.5,3.133,1.633,0.4686,-0.0954,0.8679,0.6991,1.0,0.6681,0.5727,1.633
pedestrian_curb,0,-1.0,3.133,2.133,0.5569,0.2963,0.8153,0.423,1.0,0.2764,0.5727,2.133
pedestrian_curb,0,-0.5,3.133,2.633,0.6063,0.491,0.7659,0.3421,1.0,0.0817,0.5727,2.633
pedestrian_curb,0,0.0,3.133,3.133,0.6072,0.4991,0.7195,0.3887,1.0,0.0736,0.5727,3.133
pedestrian_curb,0,0.5,3.133,3.633,0.6072,0.5087,0.6759,0.4239,1.0,0.0639,0.5727,3.633
pedestrian_curb,0,1.0,3.133,4.133,0.6131,0.5546,0.635,0.4127,1.0,0.0181,0.5727,4.133
pedestrian_curb,0,1.5,3.133,4.633,0.6115,0.5727,0.5965,0.4165,1.0,0.0,0.5727,4.633
pedestrian_curb,0,2.0,3.133,5.133,0.602,0.5642,0.5604,0.4313,1.0,0.0084,0.5727,5.133
pedestrian_curb,1,-2.0,3.133,1.133,0.6012,0.0726,0.9277,0.9514,1.0,0.5237,0.5963,1.133
pedestrian_curb,1,-1.5,3.133,1.633,0.4692,-0.0932,0.8715,0.6928,1.0,0.6895,0.5963,1.633
pedestrian_curb,1,-1.0,3.133,2.133,0.5689,0.319,0.8187,0.4329,1.0,0.2772,0.5963,2.133
pedestrian_curb,1,-0.5,3.133,2.633,0.6122,0.5,0.7691,0.3494,1.0,0.0963,0.5963,2.633
pedestrian_curb,1,0.0,3.133,3.133,0.6219,0.5306,0.7225,0.3949,1.0,0.0657,0.5963,3.133
pedestrian_curb,1,0.5,3.133,3.633,0.6386,0.5821,0.6788,0.4303,1.0,0.0141,0.5963,3.633
pedestrian_curb,1,1.0,3.133,4.133,0.6229,0.5751,0.6376,0.4171,1.0,0.0211,0.5963,4.133
pedestrian_curb,1,1.5,3.133,4.633,0.6193,0.5883,0.599,0.4213,1.0,0.008,0.5963,4.633
pedestrian_curb,1,2.0,3.133,5.133,0.6162,0.5963,0.5627,0.4353,1.0,0.0,0.5963,5.133
pedestrian_curb,2,-2.0,3.133,1.133,0.606,0.0867,0.9316,0.9424,1.0,0.5062,0.5929,1.133
pedestrian_curb,2,-1.5,3.133,1.633,0.4847,-0.0577,0.8752,0.695,1.0,0.6506,0.5929,1.633
pedestrian_curb,2,-1.0,3.133,2.133,0.5669,0.3163,0.8221,0.424,1.0,0.2765,0.5929,2.133
pedestrian_curb,2,-0.5,3.133,2.633,0.6109,0.4997,0.7723,0.3395,1.0,0.0932,0.5929,2.633
pedestrian_curb,2,0.0,3.133,3.133,0.6156,0.5166,0.7255,0.3881,1.0,0.0763,0.5929,3.133
pedestrian_curb,2,0.5,3.133,3.633,0.626,0.5508,0.6816,0.4266,1.0,0.0421,0.5929,3.633
pedestrian_curb,2,1.0,3.133,4.133,0.6217,0.5705,0.6403,0.4168,1.0,0.0223,0.5929,4.133
pedestrian_curb,2,1.5,3.133,4.633,0.622,0.5929,0.6015,0.4225,1.0,0.0,0.5929,4.633
pedestrian_curb,2,2.0,3.133,5.133,0.6066,0.5699,0.5651,0.4366,1.0,0.023,0.5929,5.133
