config_idx,mean_hqm,beats_greedy,tau_low,tau_high,rho_commit,sigma_stable
0,0.6845,True,0.462408,0.598844,0.718896,0.047732
1,0.6751,True,0.475279,0.764604,0.655335,0.048928
2,0.666,True,0.21637,0.506972,0.491805,0.050382
3,0.6894,True,0.277561,0.40288,0.34462,0.048613
4,0.6809,True,0.222157,0.6506,0.342439,0.067981
5,0.6873,True,0.382584,0.461169,0.549921,0.040829
6,0.6703,True,0.354753,0.701967,0.736537,0.054642
7,0.6862,True,0.325751,0.518284,0.641169,0.05206
8,0.6817,True,0.215691,0.646055,0.613902,0.031266
9,0.6873,True,0.293854,0.484621,0.435818,0.044246
10,0.6829,True,0.376761,0.630851,0.666699,0.061041
11,0.6838,True,0.267289,0.643299,0.448667,0.055247
12,0.6851,True,0.306743,0.670135,0.69337,0.038198
13,0.6831,True,0.455757,0.606239,0.512687,0.040612
14,0.6848,True,0.2399,0.606112,0.430366,0.050578
15,0.6886,True,0.395118,0.455465,0.608774,0.054935
16,0.6704,True,0.337321,0.734813,0.424362,0.037988
17,0.6849,True,0.250559,0.541834,0.428808,0.034419
18,0.6859,True,0.392919,0.574229,0.545839,0.058084
19,0.6784,True,0.254386,0.660172,0.441889,0.059194
20,0.6863,True,0.369201,0.620605,0.496888,0.05158
21,0.681,True,0.340754,0.677009,0.453536,0.033346
22,0.6885,True,0.359059,0.427526,0.655964,0.037101
23,0.6871,True,0.434581,0.481555,0.663728,0.04211
24,0.6842,True,0.485333,0.616381,0.600089,0.047526
25,0.6744,True,0.486889,0.720966,0.422985,0.034065
26,0.6754,True,0.269192,0.834612,0.555393,0.036072
27,0.6882,True,0.367506,0.456259,0.406069,0.067924
28,0.6838,True,0.435496,0.547066,0.528439,0.040189
29,0.6646,True,0.226011,0.858803,0.405233,0.054224
30,0.6909,True,0.33207,0.40479,0.538045,0.042822
31,0.6501,True,0.232481,0.709613,0.680835,0.06293
32,0.6615,True,0.211091,0.800577,0.66233,0.053028
33,0.6868,True,0.269807,0.600226,0.744679,0.064925
34,0.6856,True,0.398335,0.496046,0.469746,0.052502
35,0.6843,True,0.289081,0.563305,0.401053,0.034217
36,0.6853,True,0.380885,0.611474,0.751427,0.068019
37,0.6803,True,0.225002,0.642523,0.670664,0.03692
38,0.6853,True,0.248377,0.592088,0.712514,0.062273
39,0.6669,True,0.218626,0.834536,0.342331,0.051916
40,0.6856,True,0.33596,0.645693,0.559289,0.047569
41,0.6853,True,0.345025,0.528725,0.417449,0.042667
42,0.6862,True,0.418583,0.63621,0.665205,0.045117
43,0.6844,True,0.212793,0.633071,0.341181,0.054152
44,0.6842,True,0.229544,0.555323,0.338575,0.045008
45,0.6771,True,0.280846,0.792318,0.740072,0.04161
46,0.6836,True,0.426737,0.689504,0.586308,0.048431
47,0.6854,True,0.249549,0.523977,0.363695,0.030477
48,0.6736,True,0.427271,0.862999,0.51559,0.056849
49,0.672,True,0.273761,0.857065,0.357072,0.046214
50,0.6782,True,0.215009,0.673896,0.437502,0.03353
51,0.6883,True,0.457404,0.455489,0.620134,0.034251
52,0.6893,True,0.31171,0.417529,0.466395,0.046148
53,0.6798,True,0.460726,0.690831,0.592752,0.048153
54,0.685,True,0.371218,0.549993,0.532752,0.066123
55,0.6724,True,0.257892,0.858265,0.710782,0.04251
56,0.6711,True,0.388151,0.76102,0.678261,0.067772
57,0.6803,True,0.306185,0.82619,0.531041,0.031296
58,0.6774,True,0.407696,0.824039,0.668749,0.063433
59,0.6766,True,0.353471,0.909605,0.737202,0.057557
60,0.6797,True,0.246842,0.626372,0.620854,0.066897
61,0.6818,True,0.353146,0.609658,0.511305,0.058668
62,0.6818,True,0.230554,0.612791,0.505972,0.034865
63,0.6875,True,0.38537,0.48096,0.528168,0.062543
