scenario,policy,trial,hqm,S,E,B,R,unsafe_commits,decision_latency_ms,resolution,n_transitions
pedestrian_curb,greedy,0,0.6,0.0,1.0,1.0,1.0,0,0.0,GREEDY_COMMIT,0
pedestrian_curb,hesitation,0,0.7401,0.4991,1.0,0.7022,1.0,0,1900.0,EARNED_COMMIT,2
pedestrian_curb,fixed_delay,0,0.425,-0.2656,1.0,0.6561,1.0,0,2000.0,FIXED_DELAY,1
pedestrian_curb,random_delay,0,0.4474,-0.1994,1.0,0.6358,1.0,0,2051.0,RANDOM_DELAY,1
pedestrian_curb,risk_threshold,0,0.573,0.0105,1.0,0.8443,1.0,0,0.0,RISK_THRESHOLD,1
pedestrian_curb,ttc_only,0,0.573,0.0105,1.0,0.8443,1.0,0,0.0,TTC_COMMIT,1
pedestrian_curb,greedy,1,0.6,0.0,1.0,1.0,1.0,0,0.0,GREEDY_COMMIT,0
pedestrian_curb,hesitation,1,0.7474,0.5167,1.0,0.7037,1.0,0,1900.0,EARNED_COMMIT,2
pedestrian_curb,fixed_delay,1,0.4353,-0.242,1.0,0.6604,1.0,0,2000.0,FIXED_DELAY,1
pedestrian_curb,random_delay,1,0.5678,0.1115,1.0,0.6159,1.0,0,3695.1,RANDOM_DELAY,1
pedestrian_curb,risk_threshold,1,0.572,0.008,1.0,0.8442,1.0,0,0.0,RISK_THRESHOLD,1
pedestrian_curb,ttc_only,1,0.572,0.008,1.0,0.8442,1.0,0,0.0,TTC_COMMIT,1
pedestrian_curb,greedy,2,0.6,0.0,1.0,1.0,1.0,0,0.0,GREEDY_COMMIT,0
pedestrian_curb,hesitation,2,0.7615,0.5503,1.0,0.707,1.0,0,1900.0,EARNED_COMMIT,2
pedestrian_curb,fixed_delay,2,0.4331,-0.2461,1.0,0.6575,1.0,0,2000.0,FIXED_DELAY,1
pedestrian_curb,random_delay,2,0.5272,0.0132,1.0,0.6097,1.0,0,2371.8,RANDOM_DELAY,1
pedestrian_curb,risk_threshold,2,0.5842,0.0384,1.0,0.8443,1.0,0,0.0,RISK_THRESHOLD,1
pedestrian_curb,ttc_only,2,0.5842,0.0384,1.0,0.8443,1.0,0,0.0,TTC_COMMIT,1
pedestrian_curb,greedy,3,0.6,0.0,1.0,1.0,1.0,0,0.0,GREEDY_COMMIT,0
pedestrian_curb,hesitation,3,0.7498,0.5229,1.0,0.7033,1.0,0,1900.0,EARNED_COMMIT,2
