scenario,policy,hqm_mean,hqm_std,S_mean,E_mean,B_mean,R_mean,ucr,dl_mean_ms,n_trials
merge_hesitation,fixed_delay,0.3766,0.0073,-0.4185,1.0,0.72,1.0,0.0,2000.0,30
merge_hesitation,greedy,0.6,0.0,0.0,1.0,1.0,1.0,0.0,0.0,30
merge_hesitation,hesitation,0.6063,0.0109,0.1904,1.0,0.6509,1.0,0.0,244.44,30
merge_hesitation,random_delay,0.4009,0.1628,-0.3349,1.0,0.6741,1.0,0.0,1894.1,30
merge_hesitation,risk_threshold,0.5684,0.0032,-0.001,1.0,0.8441,1.0,0.0,0.0,30
merge_hesitation,ttc_only,0.5684,0.0032,-0.001,1.0,0.8441,1.0,0.0,0.0,30
occluded_intersection,fixed_delay,0.5488,0.0074,-0.0327,1.0,0.8094,1.0,0.0,2000.0,30
occluded_intersection,greedy,0.6,0.0,0.0,1.0,1.0,1.0,0.0,0.0,30
occluded_intersection,hesitation,0.6549,0.0158,0.3389,1.0,0.5968,1.0,0.0,726.6633,30
occluded_intersection,random_delay,0.5794,0.0549,0.0389,1.0,0.8191,1.0,0.0,2187.9033,30
occluded_intersection,risk_threshold,0.6155,0.007,0.1295,1.0,0.8184,1.0,0.0,0.0,30
occluded_intersection,ttc_only,0.7115,0.0069,0.3758,1.0,0.8058,1.0,0.0,0.0,30
pedestrian_curb,fixed_delay,0.4357,0.0049,-0.2396,1.0,0.6579,1.0,0.0,2000.0,30
pedestrian_curb,greedy,0.6,0.0,0.0,1.0,1.0,1.0,0.0,0.0,30
pedestrian_curb,hesitation,0.7472,0.0068,0.5164,1.0,0.7032,1.0,0.0,1904.44,30
pedestrian_curb,random_delay,0.484,0.0837,-0.1297,1.0,0.6794,1.0,0.0,2161.33,30
pedestrian_curb,risk_threshold,0.576,0.0047,0.0178,1.0,0.8441,1.0,0.0,0.0,30
pedestrian_curb,ttc_only,0.576,0.0047,0.0178,1.0,0.8441,1.0,0.0,0.0,30
